country,continent,sub_region
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Andorra,Europe,Southern Europe
Angola,Africa,Sub-Saharan Africa
Anguilla,Caribbean,Caribbean
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Caribbean,Caribbean
Argentina,South America,South America
Armenia,Asia,Western Asia
Aruba,Caribbean,Caribbean
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,Caribbean,Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,Caribbean,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,Central America,Central America
Benin,Africa,Sub-Saharan Africa
Bermuda,Caribbean,Northern America
Bhutan,Asia,Southern Asia
Bolivia,South America,South America
Bonaire Sint Eustatius and Saba,Caribbean,Caribbean
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Sub-Saharan Africa
Brazil,South America,South America
British Virgin Islands,Caribbean,Sub-Saharan Africa
Brunei,Asia,Sub-Saharan Africa
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cambodia,Africa,South-eastern Asia
Cameroon,Africa,Sub-Saharan Africa
Canada,North America,Northern America
Cape Verde,Africa,Northern America
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Chile,South America,South America
China,Asia,Eastern Asia
Christmas Island,Oceania,Australia and New Zealand
Colombia,South America,South America
Comoros,Africa,Sub-Saharan Africa
Congo,Africa,Sub-Saharan Africa
Cook Islands,Oceania,Polynesia
Costa Rica,Central America,Central America
Cote d'Ivoire,Africa,Sub-Saharan Africa
Croatia,Europe,Southern Europe
Cuba,Caribbean,Caribbean
Curacao,Caribbean,Caribbean
Cyprus,Europe,Western Asia
Czechia,Europe,Eastern Europe
Democratic Republic of Congo,Africa,Sub-Saharan Africa
Denmark,Europe,Northern Europe
Djibouti,Africa,Sub-Saharan Africa
Dominica,Caribbean,Caribbean
Dominican Republic,Caribbean,Caribbean
Ecuador,South America,South America
Egypt,Africa,Northern Africa
El Salvador,Central America,Central America
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Estonia,Europe,Northern Europe
Eswatini,Africa,Sub-Saharan Africa
Ethiopia,Africa,Sub-Saharan Africa
Faeroe Islands,Europe,Sub-Saharan Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
French Equatorial Africa,Africa,Sub-Saharan Africa
French Guiana,South America,South America
French Polynesia,Oceania,Polynesia
French West Africa,Africa,Sub-Saharan Africa
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Georgia,Europe,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Sub-Saharan Africa
Greece,Europe,Southern Europe
Greenland,Greenland,Northern America
Grenada,Caribbean,Caribbean
Guadeloupe,Caribbean,Caribbean
Guatemala,Central America,Central America
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Guyana,Caribbean,Caribbean
Haiti,Caribbean,Caribbean
Honduras,Central America,Central America
Hong Kong,Asia,Eastern Asia
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran,Asia,South-eastern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Caribbean,Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Sub-Saharan Africa
Kiribati,Oceania,Micronesia
Kosovo,Europe,Eastern Asia
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Laos,Asia,South-eastern Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Leeward Islands,Caribbean,Western Asia
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Libya,Africa,Northern Africa
Liechtenstein,Europe,Western Europe
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Macao,Asia,Eastern Asia
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Sub-Saharan Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Martinique,Caribbean,Caribbean
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mayotte,Africa,Sub-Saharan Africa
Mexico,Central America,Central America
Micronesia (country),Oceania,Micronesia
Moldova,Europe,Micronesia
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Montserrat,Caribbean,Caribbean
Morocco,Africa,Northern Africa
Mozambique,Africa,Sub-Saharan Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Sub-Saharan Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Australia and New Zealand
Nicaragua,Central America,Central America
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Niue,Oceania,Polynesia
North Korea,Asia,Australia and New Zealand
North Macedonia,Europe,Southern Europe
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Palestine,Asia,Micronesia
Panama,Central America,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,South America
Peru,South America,South America
Philippines,Asia,South-eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Puerto Rico,Caribbean,Caribbean
Qatar,Asia,Western Asia
Reunion,Africa,Sub-Saharan Africa
Romania,Europe,Eastern Europe
Russia,Europe,Eastern Europe
Rwanda,Africa,Sub-Saharan Africa
Ryukyu Islands,Asia,Sub-Saharan Africa
Saint Helena,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,Caribbean,Caribbean
Saint Lucia,Caribbean,Caribbean
Saint Pierre and Miquelon,North America,Northern America
Saint Vincent and the Grenadines,Caribbean,Caribbean
Samoa,Oceania,Polynesia
Sao Tome and Principe,Africa,Sub-Saharan Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Sub-Saharan Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Singapore,Asia,South-eastern Asia
Sint Maarten (Dutch part),Caribbean,Caribbean
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
South Korea,Asia,Eastern Asia
South Sudan,Africa,Sub-Saharan Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
St. Kitts-Nevis-Anguilla,Caribbean,Southern Asia
Sudan,Africa,Northern Africa
Suriname,Caribbean,Caribbean
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,Western Europe
Taiwan,Asia,Western Asia
Tajikistan,Asia,Central Asia
Tanzania,Africa,Sub-Saharan Africa
Thailand,Asia,South-eastern Asia
Timor,Asia,South-eastern Asia
Togo,Africa,Sub-Saharan Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,Caribbean,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Turks and Caicos Islands,Caribbean,Caribbean
Tuvalu,Oceania,Polynesia
Uganda,Africa,Sub-Saharan Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,Western Asia
United States,North America,Northern Europe
Uruguay,South America,South America
Uzbekistan,Europe,Central Asia
Vanuatu,Oceania,Melanesia
Venezuela,South America,South America
Vietnam,Asia,South-eastern Asia
Wallis and Futuna,Oceania,Polynesia
Yemen,Asia,Western Asia
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
