index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
0,Max Aarons,eng ENG,DF,Bournemouth,25-020,2000,1,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,774cf58b
1,Joshua Acheampong,eng ENG,DF,Chelsea,18-264,2006,1.8,1,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b7e62e1d
2,Tyler Adams,us USA,MF,Bournemouth,25-345,1999,7.6,17,2.23,13,0,0,0,0,4,2,0.26,1,0,0,0,0,1,2b09d998
3,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-122,1997,8.1,7,0.86,5,0,0,2,0,0,0,0,0,0,0,0,0,0,c81d773d
4,Simon Adingra,ci CIV,"FW,MF",Brighton,23-023,2002,6.1,20,3.25,15,0,3,2,0,0,3,0.49,2,0,1,0,0,0,4dcec659
5,Emmanuel Agbadou,ci CIV,DF,Wolves,27-221,1997,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75f1ed80 
6,Asher Agbinone,eng ENG,MF,Crystal Palace,19-118,2005,0.1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6a10efb3 
7,Ola Aina,ng NGA,DF,Nott'ham Forest,28-108,1996,21.3,39,1.83,31,5,1,1,0,1,2,0.09,1,0,0,0,0,1,246d153b 
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-232,2001,19.9,42,2.1,28,5,4,3,1,1,7,0.35,5,1,0,0,0,1,9b398aea 
9,Kristoffer Ajer,no NOR,DF,Brentford,26-282,1998,8,9,1.13,9,0,0,0,0,0,2,0.25,2,0,0,0,0,0,a8c0acb7
10,Manuel Akanji,ch SUI,DF,Manchester City,29-189,1995,17,31,1.83,31,0,0,0,0,0,2,0.12,2,0,0,0,0,0,89ac64a6
11,Nathan Aké,nl NED,DF,Manchester City,29-341,1995,6.7,6,0.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,eaeca114
12,Carlos Alcaraz,ar ARG,MF,Southampton,22-055,2002,0.1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4abac767
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-109,1998,17.5,73,4.17,57,13,1,2,0,0,9,0.51,8,1,0,0,0,0,cd1acf9d
14,Alisson,br BRA,GK,Liverpool,32-114,1992,12.9,3,0.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7a2e46a8
15,Miguel Almirón,py PAR,FW,Newcastle Utd,30-349,1994,1.7,5,2.92,5,0,0,0,0,0,0,0,0,0,0,0,0,0,862a1c15
16,Edson Alvarez,mx MEX,MF,West Ham,27-092,1997,12.7,21,1.66,18,0,2,1,0,0,1,0.08,1,0,0,0,0,0,8b3ab7ad 
17,Will Alves,eng ENG,FW,Leicester City,19-356,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39ef5a7b 
18,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-190,2006,0.3,2,6.43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9eedf0e0 
19,Joachim Andersen,dk DEN,DF,Crystal Palace,28-238,1996,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,e34fc66d
