index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-157,2000,21.6,76,3.51,49,11,6,3,6,1,6,0.28,3,0,0,1,1,1,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-258,1996,20.8,54,2.59,42,1,2,4,5,0,6,0.29,4,0,0,0,2,0,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-042,1999,24,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-185,1997,13.2,7,0.53,6,0,0,1,0,0,0,0,0,0,0,0,0,0,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-363,1996,9.7,6,0.62,6,0,0,0,0,0,0,0,0,0,0,0,0,0,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20-364,2002,1,2,1.94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-295,2001,11.5,23,2.01,14,2,4,1,2,0,0,0,0,0,0,0,0,0,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-345,1998,8.5,4,0.47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-252,1995,18.1,19,1.05,18,0,0,1,0,0,0,0,0,0,0,0,0,0,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-038,1995,16.8,20,1.19,17,1,0,2,0,0,2,0.12,2,0,0,0,0,0,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-130,1989,2.6,7,2.66,5,2,0,0,0,0,0,0,0,0,0,0,0,0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-351,1991,12.8,39,3.04,31,0,3,1,1,3,2,0.16,2,0,0,0,0,0,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-118,2002,3.6,12,3.3,6,0,2,2,2,0,1,0.28,0,0,0,1,0,0,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-172,1998,21.5,80,3.72,50,25,1,4,0,0,6,0.28,5,1,0,0,0,0,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-177,1992,26,3,0.12,3,0,0,0,0,0,2,0.08,2,0,0,0,0,0,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-351,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-046,1994,22,66,3,48,2,7,6,3,0,10,0.46,4,1,4,1,0,0,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-056,2000,8.3,27,3.24,21,0,2,3,1,0,0,0,0,0,0,0,0,0,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-097,1994,16.9,15,0.89,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-301,1996,21.4,12,0.56,11,1,0,0,0,0,1,0.05,0,1,0,0,0,0,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-142,2002,2.1,11,5.24,6,0,1,0,4,0,0,0,0,0,0,0,0,0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-117,1999,11.2,32,2.87,24,3,2,1,1,1,2,0.18,1,0,0,0,1,0,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-000,1990,12.5,28,2.23,17,0,5,3,3,0,6,0.48,3,0,2,1,0,0,ac05f970
24,Antony,br BRA,FWMF,Manchester Utd,23-032,2000,11.9,35,2.94,31,0,1,1,2,0,1,0.08,1,0,0,0,0,0,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-250,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-029,1993,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-250,1996,12.2,26,2.14,22,0,1,1,1,1,1,0.08,0,0,1,0,0,0,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-046,1997,12.3,18,1.46,17,0,0,0,1,0,1,0.08,1,0,0,0,0,0,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-363,1992,11.1,41,3.68,32,0,0,5,4,0,1,0.09,0,0,0,0,1,0,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-176,1994,18.5,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-283,1989,4.9,6,1.22,4,0,0,2,0,0,0,0,0,0,0,0,0,0,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-341,1994,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-094,1992,15.9,22,1.38,18,1,0,0,2,1,0,0,0,0,0,0,0,0,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-228,1997,8.1,17,2.1,12,0,1,1,2,1,1,0.12,0,0,0,1,0,0,e5478b87
35,André Ayew,gh GHA,FW,Nott'ham Forest,33-101,1989,2.5,2,0.79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5dbefa9d
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-198,1991,20.9,53,2.54,36,0,6,4,4,3,3,0.14,1,0,0,1,1,0,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,31-215,1991,13.8,21,1.52,19,0,0,1,1,0,1,0.07,1,0,0,0,0,0,420d7c7d
38,César Azpilicueta,es ESP,DF,Chelsea,33-212,1989,12.3,18,1.46,18,0,0,0,0,0,1,0.08,1,0,0,0,0,0,53cad200
39,Benoît Badiashile,fr FRA,DF,Chelsea,22-002,2001,7.1,11,1.56,10,0,0,0,0,1,0,0,0,0,0,0,0,0,06df8256
40,Leon Bailey,jm JAM,FWMF,Aston Villa,25-231,1997,17.9,47,2.63,30,2,7,6,2,0,5,0.28,3,0,0,2,0,0,3a233281
41,Stefan Bajcetic,es ESP,MF,Liverpool,18-157,2004,5.8,13,2.22,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0,32e8417f
42,Patrick Bamford,eng ENG,FW,Leeds United,29-204,1993,10.6,19,1.79,13,0,1,2,2,1,4,0.38,3,0,1,0,0,0,93feac6e
43,Shandon Baptiste,gd GRN,MF,Brentford,24-354,1998,5,11,2.19,8,0,1,0,2,0,2,0.4,1,0,0,0,1,0,2886c9b5
44,Harvey Barnes,eng ENG,MFFW,Leicester City,25-109,1997,22.6,45,1.99,32,0,1,7,4,1,10,0.44,6,0,0,2,1,1,3ea50f67
45,Gavin Bazunu,ie IRL,GK,Southampton,21-036,2002,28,7,0.25,5,2,0,0,0,0,0,0,0,0,0,0,0,0,c91441dc
46,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-080,1999,0.2,1,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30db8574
47,Jan Bednarek,pl POL,DF,Southampton,26-350,1996,9.1,5,0.55,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4115ce4e
48,Jan Bednarek,pl POL,DF,Aston Villa,26-350,1996,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4115ce4e
49,Donny van de Beek,nl NED,MF,Manchester Utd,25-344,1997,1.9,6,3.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50dc94ce
50,Asmir Begović,ba BIH,GK,Everton,35-281,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7b4de647
51,Armel Bella Kotchap,de GER,DF,Southampton,21-107,2001,16.5,12,0.73,7,0,1,1,2,1,1,0.06,1,0,0,0,0,0,a39d11bc
52,Saïd Benrahma,dz ALG,FWMF,West Ham,27-230,1995,15.9,69,4.34,51,1,9,6,2,0,4,0.25,3,0,1,0,0,0,5a04fd92
53,Rodrigo Bentancur,uy URU,MF,Tottenham,25-276,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.3,2,0,0,1,0,2,3b8674e6
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-102,2002,3.9,9,2.31,5,3,0,1,0,0,2,0.51,2,0,0,0,0,0,505486d6
55,Owen Bevan,wls WAL,DF,Bournemouth,19-153,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87966294
56,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-362,2000,0.2,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,de40e38c
57,Philip Billing,dk DEN,MFFW,Bournemouth,26-290,1996,21.7,31,1.43,24,0,4,2,1,0,4,0.18,3,0,0,1,0,0,d328a254
58,Yves Bissouma,ml MLI,MF,Tottenham,26-210,1996,9,25,2.76,20,0,1,1,1,2,1,0.11,1,0,0,0,0,0,6c203af0
59,Willy Boly,ci CIV,DF,Nott'ham Forest,32-053,1991,6.6,5,0.76,5,0,0,0,0,0,1,0.15,1,0,0,0,0,0,a4ac4b8f
60,Sven Botman,nl NED,DF,Newcastle Utd,23-075,2000,22.7,17,0.75,13,1,0,3,0,0,1,0.04,0,0,0,1,0,0,ccce7025
61,Jarrod Bowen,eng ENG,FWMF,West Ham,26-098,1996,25.9,85,3.28,43,11,9,11,9,2,8,0.31,3,1,0,2,2,0,79c84d1c
62,James Bree,eng ENG,DF,Southampton,25-168,1997,2.2,6,2.69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,c07b7c5c
63,Armando Broja,al ALB,FW,Chelsea,21-199,2001,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,97220da2
64,David Brooks,wls WAL,DF,Bournemouth,25-263,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc4cae05
65,Lewis Brunt,eng ENG,DF,Leicester City,22-142,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2081c6b
66,Bryan,es ESP,MFFW,Tottenham,22-045,2001,1.6,5,3.04,4,0,1,0,0,0,3,1.82,3,0,0,0,0,0,7b5ab7f2
67,Emi Buendía,ar ARG,MFFW,Aston Villa,26-093,1996,18.1,58,3.2,47,2,3,1,4,1,7,0.39,5,0,1,1,0,0,66b76d44
68,Hugo Bueno,es ESP,DF,Wolves,20-191,2002,11.6,23,1.99,18,4,0,1,0,0,1,0.09,1,0,0,0,0,0,bfc3b3a0
69,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-095,2004,0.6,3,5.51,3,0,0,0,0,0,1,1.84,1,0,0,0,0,0,468a7a91
